id,prediction0,logprob0,prediction1,logprob1,prediction2,logprob2
COCO_val2014_000000550001,a brown horse standing on top of a lush green field .,0.0054479675023946595,a brown horse standing on top of a grass covered field .,0.002550670361497161,a brown horse standing on top of a green field .,0.00159516229356982
COCO_val2014_000000549746,a little boy that is sitting in a bathtub .,0.0002939780595944091,a little boy that is sitting in a bath tub,0.00014654339600669373,a little boy that is sitting in a bath tub .,9.607226168871039e-05
COCO_val2014_000000550405,a laptop computer sitting on top of a wooden desk .,0.016349431159149698,a laptop computer sitting on top of a wooden table .,0.01486768520044241,an open laptop computer sitting on top of a wooden desk .,0.00648643299177825
COCO_val2014_000000550162,a man is holding a bunch of bananas,0.00241031533759393,a man is holding a bunch of bananas .,0.0023208479156720707,a man holding a bunch of bananas in his hand .,0.0009614948767124958
COCO_val2014_000000550349,a bus that is sitting in the street .,0.0005784197070921561,a bus that is driving down the street .,0.00032153967716162156,a bus that is driving down the street,0.00010856306122257185
COCO_val2014_000000549817,a white toilet sitting in a bathroom next to a trash can .,0.0005679746733482987,a white toilet sitting in a bathroom next to a wall .,0.0004784381572492386,a white toilet sitting in the corner of a bathroom .,0.00032787127550702874
COCO_val2014_000000000428,a little girl that is standing in front of a cake .,0.00022382360466262165,a little girl that is sitting in front of a cake .,0.00019517361067867173,a little girl that is standing in front of a mirror .,0.00011328580528893665
COCO_val2014_000000550013,a man and a dog playing with a frisbee,0.00011745610778544169,a man and a dog are playing frisbee in a field .,6.599430126230165e-05,a man and a dog playing with a frisbee in a field .,4.567220296955161e-05
COCO_val2014_000000550007,a person riding a motorcycle on a race track,0.005551077535534179,a man riding a motorcycle on a race track .,0.0033956381551910808,a person riding a motorcycle on a race track .,0.0028414551060292814
COCO_val2014_000000549797,a woman holding a white frisbee in her hands .,0.00017529554251618796,a woman holding a white frisbee in her hand .,0.00016413894456979757,a woman holding a white frisbee in her hands,1.8967610763191927e-05
COCO_val2014_000000549754,a man flying through the air while riding a snowboard .,0.04689172638643264,a person jumping a snow board in the air,0.007009376316727178,a man flying through the air while riding skis .,0.005117016920622661
COCO_val2014_000000550365,a man flying through the air while riding a snowboard .,0.031659607177204986,a man flying through the air while riding skis .,0.003267531896531033,a man flying through the air on top of a snow board .,0.002257322221849301
COCO_val2014_000000550403,a large clock tower towering over a city .,0.002155554718552108,a clock tower in the middle of a city .,0.0008583344997109051,a large clock tower in the middle of a city .,0.0004011102636510515
COCO_val2014_000000550173,a red and yellow train traveling down train tracks .,0.0020285425593733366,a red train is coming down the tracks,0.00142912584857962,a red and white train traveling down train tracks .,0.0012296780077592476
COCO_val2014_000000549635,a market with a lot of fruits and vegetables,0.00013302199093346906,a man standing in front of a fruit stand .,9.498873986193244e-05,a market with a lot of fruits and vegetables .,5.8235565296979895e-05
COCO_val2014_000000549780,a hot dog with mustard and ketchup on a bun .,0.0014329930636556702,a hot dog on a bun with ketchup and mustard .,0.0013633224543250601,a hot dog with mustard and ketchup on a bun,0.0007347097569090357
COCO_val2014_000000550372,a train on a train track at a train station,0.0010431114775853712,a train on a track near a platform,0.0005652893301137574,a train on a train track at a station,0.00030758565353250023
COCO_val2014_000000550400,a piece of chocolate cake on a white plate .,0.0008329800448664609,a chocolate cake on a plate with a knife .,0.0006386334679868881,a piece of chocolate cake on a white plate,0.0005602061410502512
COCO_val2014_000000000764,a group of young men playing a game of frisbee .,0.01389241628003347,a group of young people playing a game of frisbee .,0.00798226132127099,a group of people playing frisbee in a field .,0.0033583514784716766
COCO_val2014_000000549965,a wooden bench sitting on top of a sidewalk .,0.0006715613932000308,a wooden bench sitting on a sidewalk next to a street .,0.00022124338099416954,a wooden bench sitting on top of a wooden bench .,0.00021045830497329112
COCO_val2014_000000549971,a person holding a hot dog in their hand .,0.002630747905743346,a person holding a hot dog in a bun .,0.0020191704116390213,a person holding a hot dog in a bun,0.0005271247037129362
COCO_val2014_000000549568,a city street filled with lots of traffic .,0.001891198598936766,a city street filled with lots of traffic and tall buildings .,6.582328838281616e-05,a city street filled with lots of traffic and people .,5.7211825082223624e-05
COCO_val2014_000000550103,a group of people flying kites in a park .,0.0017416868488384736,a group of people flying kites in a field .,0.0017228024154840383,a large group of people flying kites in a field .,0.0008191390859651651
COCO_val2014_000000550117,a woman sitting at a table with a plate of food .,0.0029291630507637,a man sitting at a table with a plate of food .,0.0022469731929295514,a man sitting at a table with a plate of pizza .,0.0011287942741627964
COCO_val2014_000000549687,a couple of giraffe standing next to each other .,0.008444030204957332,a couple of giraffe standing next to a tree .,0.0023224305434814134,a couple of giraffe standing next to each other on a field .,0.0010529840861335752
COCO_val2014_000000549718,a yellow and blue bus driving down a street .,0.0012097720755937702,a yellow bus driving down a city street .,0.0007279489180729324,a yellow bus driving down a street next to a building .,0.00027644981425104887
COCO_val2014_000000549518,a bowl of fruit and a banana on a table .,0.0001988587402236395,a bowl of bananas and a bowl of fruit .,0.00017074276055319975,a bowl of bananas and a bowl of fruit,8.262359889393169e-05
