id,"prediction0","logprob0","prediction1","logprob1","prediction2","logprob2","prediction3","logprob3","prediction4","logprob4"
COCO_val2014_000000000074,"a cat sitting on the ground next to a bike .","0.000166","a dog sitting on a sidewalk next to a bike .","0.000124","a cat sitting on the ground next to a bicycle .","0.000089","a cat sitting on a bench next to a bike .","0.000077","a dog sitting on a bench next to a bike .","0.000070"
COCO_val2014_000000000257,"a group of people standing around a food truck .","0.003517","a group of people standing outside of a food truck .","0.001867","a group of people standing around a truck .","0.001019","a group of people standing in front of a bus .","0.000639","a group of people standing in front of a food truck .","0.000566"
COCO_val2014_000000000488,"a batter , catcher and umpire during a baseball game .","0.005729","a baseball player swinging a bat at a ball","0.003890","a baseball player swinging a bat on a field .","0.002409","a baseball player holding a bat on a field .","0.002359","a baseball player swinging a bat at a ball .","0.002292"
COCO_val2014_000000000395,"a man is talking on a cell phone","0.001166","a man talking on a cell phone on a city street .","0.001061","a man talking on a cell phone in a city .","0.000977","a man talking on a cell phone on a street .","0.000631","a man is talking on his cell phone","0.000543"
COCO_val2014_000000000428,"a little girl that is standing in front of a cake .","0.000224","a little girl that is sitting in front of a cake .","0.000195","a little girl standing in front of a cake .","0.000122","a little girl that is standing in front of a mirror .","0.000113","a little girl that is standing in front of a table .","0.000048"
COCO_val2014_000000000764,"a group of young men playing a game of frisbee .","0.013892","a group of young people playing a game of frisbee .","0.007982","a group of people playing frisbee in a field .","0.003358","a group of people on a field playing frisbee .","0.002345","a group of people playing frisbee in a field","0.002324"
COCO_val2014_000000000693,"a young boy is sitting on a skateboard .","0.000152","a young boy is sitting on a skateboard","0.000052","a little girl is sitting on a suitcase","0.000021","a little boy sitting on a skateboard in a room .","0.000015","a little girl is sitting on the floor with a suitcase .","0.000007"
COCO_val2014_000000549508,"a group of people standing on top of a snow covered slope .","0.004667","a group of people on skis in the snow .","0.004427","a group of people riding skis on a snowy surface","0.003717","a group of people riding skis on top of a snow covered slope .","0.003168","a group of people riding skis on a snow covered slope .","0.000802"
COCO_val2014_000000549518,"a bowl of cereal and a banana on a table .","0.000385","a bowl of fruit and a banana on a table .","0.000199","a bowl of bananas and a bowl of fruit .","0.000171","a bowl of cereal and a banana on a table","0.000161","a bowl of bananas and a bowl of fruit","0.000083"
COCO_val2014_000000549462,"a man flying through the air while riding a snowboard .","0.018297","a person jumping a snow board in the air","0.010830","a man flying through the air while riding skis .","0.004597","a person on a snow board high in the air .","0.001367","a man flying through the air on top of a snow board .","0.000744"
COCO_val2014_000000549568,"a city street filled with lots of traffic .","0.001891","a city street filled with lots of traffic","0.000078","a city street filled with lots of traffic and tall buildings .","0.000066","a city street filled with lots of traffic and people .","0.000057","a city street filled with lots of traffic and traffic .","0.000056"
COCO_val2014_000000549450,"a man brushing his teeth with a tooth brush .","0.010018","a man brushing his teeth in a bathroom .","0.007924","a man brushing his teeth in front of a mirror .","0.006817","a man brushing his teeth in the bathroom .","0.005761","a man brushing his teeth with a toothbrush .","0.004878"
